id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
60,TOI-1199 b,248.427,0.239 Jupiters,11.093,2024,https://science.nasa.gov/exoplanet-catalog/toi-1199-b/
61,TOI-1273 b,177.118,0.222 Jupiters,10.98,2024,https://science.nasa.gov/exoplanet-catalog/toi-1273-b/
62,TOI-1347 b,147.476,11.1 Earths,11.168,2024,https://science.nasa.gov/exoplanet-catalog/toi-1347-b/
63,TOI-1347 c,147.476,6.4 Earths,11.168,2024,https://science.nasa.gov/exoplanet-catalog/toi-1347-c/
64,TOI-1135 b,114.048,0.162 Jupiters,9.54,2024,https://science.nasa.gov/exoplanet-catalog/toi-1135-b/
65,TOI-904 b,46.0891,6.46 Earths,12.588,2023,https://science.nasa.gov/exoplanet-catalog/toi-904-b/
66,TOI-904 c,46.0891,5.34 Earths,12.588,2023,https://science.nasa.gov/exoplanet-catalog/toi-904-c/
67,TOI-1386 b,146.858,0.148 Jupiters,10.61,2024,https://science.nasa.gov/exoplanet-catalog/toi-1386-b/
68,TOI-1386 c,146.858,0.309 Jupiters,10.61,2024,https://science.nasa.gov/exoplanet-catalog/toi-1386-c/
69,Kepler-139 d,391.038,4.65808 Earths,12.775,2023,https://science.nasa.gov/exoplanet-catalog/kepler-139-d/
70,Kepler-48 f,306.738,0.93944 Jupiters,13.174,2023,https://science.nasa.gov/exoplanet-catalog/kepler-48-f/
71,Kepler-100 e,304.645,24.14272 Earths,11.055,2023,https://science.nasa.gov/exoplanet-catalog/kepler-100-e/
72,Kepler-139 e,391.038,1.34071 Jupiters,12.775,2023,https://science.nasa.gov/exoplanet-catalog/kepler-139-e/
73,HD 134606 b,26.7909,9.09 Earths,6.86,2024,https://science.nasa.gov/exoplanet-catalog/hd-134606-b/
74,HD 134606 f,26.7909,5.63 Earths,6.86,2024,https://science.nasa.gov/exoplanet-catalog/hd-134606-f/
